loan_amnt,term,int_rate,installment,annual_inc,dti,open_acc,total_acc,loan_paid_back
15607.06,60,17.76,1275.44,29812.05,35.09,23,7,1
38077.86,60,14.19,756.94,210556.06,36.29,14,6,1
29547.76,60,24.29,317.33,77340.74,15.13,23,43,1
24347.68,36,9.38,1112.86,85305.59,9.27,6,18,1
7084.73,36,16.76,645.46,72036.41,7.67,15,27,1
7083.79,36,19.0,904.1,213219.31,35.28,22,47,1
3265.26,60,21.51,187.68,245147.46,9.25,16,24,1
34780.87,36,13.14,958.43,193692.93,21.23,13,38,1
24443.49,60,18.74,579.12,209422.91,13.27,24,36,1
28614.83,36,11.06,521.26,162715.11,19.96,16,31,1
1802.8,36,13.71,1470.48,141618.23,13.83,16,21,1
38826.48,36,22.91,665.67,185962.94,11.72,23,49,1
33465.26,36,24.0,1026.72,28225.46,17.09,5,14,1
9281.23,60,19.38,952.76,34122.12,13.32,22,38,1
8091.17,36,12.49,183.33,178072.9,33.59,18,36,0
8152.78,36,21.4,1129.45,97066.09,23.23,14,13,1
12865.45,60,5.52,505.04,132431.9,7.05,17,13,0
21465.5,60,7.05,1204.44,199858.29,9.44,17,46,1
17845.86,36,18.23,923.23,152746.32,2.14,19,17,1
12357.94,36,10.82,496.12,205210.23,11.99,15,32,0
24862.26,60,24.03,553.75,116405.71,26.78,4,35,1
6440.26,60,13.72,1105.32,86107.37,7.32,17,12,0
12393.64,36,13.59,838.59,74012.49,3.97,18,28,1
15288.11,60,18.56,1012.48,50286.62,12.84,3,16,1
18786.73,60,20.35,262.73,28463.2,24.5,9,38,0
31621.86,36,14.51,1186.86,32224.27,18.91,17,11,1
8787.28,36,9.28,500.98,82329.73,13.29,6,39,1
21055.14,36,20.47,941.2,84034.9,35.32,6,34,1
24104.17,60,11.41,198.58,107810.44,18.74,11,40,1
2811.57,36,8.5,502.49,156072.0,18.2,10,25,1
24694.25,36,17.63,983.83,194638.89,1.27,15,19,0
7650.44,36,6.81,433.08,65472.15,25.57,21,10,1
3537.01,60,24.43,1324.06,194627.08,18.37,6,20,1
38006.54,36,17.65,1002.01,51967.59,5.8,24,18,1
38659.65,36,24.72,1309.31,247399.53,9.75,11,16,0
32527.5,60,11.78,611.22,85557.77,8.09,7,37,1
12879.94,60,24.42,79.96,212587.05,4.88,11,21,1
4809.21,36,7.91,876.93,63807.14,17.42,21,37,1
27685.09,36,5.81,528.61,238647.84,14.53,8,42,1
18165.95,36,5.66,688.84,210124.16,14.4,19,32,0
5759.49,60,14.3,1031.23,102659.53,10.06,20,46,1
20311.9,36,6.66,1059.98,116938.5,17.46,3,25,1
2341.15,36,15.24,70.51,20882.74,21.9,13,36,1
